	MX.01	YB03	YB08	YB13	YBO4
2189d45ff7db64a0a78cfdb34f82a35a	0.0	0.0	0.0	3.0	0.0
21a905ef26def068bc73a3696bc3448a	0.0	0.0	8.0	0.0	33.0
21da7318c905329e63fa46bc9770ab0a	0.0	0.0	0.0	5.0	0.0
21dcec006276de6519bdab842156583d	0.0	3172.0	0.0	0.0	0.0
22072d1740c47530382067f388a79e4f	0.0	0.0	0.0	0.0	10.0
2221e310a5bb15a1a69aa2a72e7c6945	0.0	8.0	0.0	0.0	0.0
2245a8312dbe88d92098e514a472d9c2	0.0	0.0	0.0	6.0	0.0
224830b918d6f6825ec03f6fc48ed0b5	0.0	0.0	0.0	2.0	0.0
22f1fa0bdcc19746dee080bcc12a1840	0.0	0.0	0.0	16.0	0.0
22f873030fb34959aa240efd9d4f7cc4	0.0	0.0	0.0	0.0	31.0
230d940538ee762ce3563880b87e0b53	0.0	0.0	18.0	0.0	0.0
237f673ce28e4568f0f44dbf9754d65c	0.0	0.0	0.0	0.0	4.0
23b01d044f7a7cc81df41728be3c67ab	0.0	0.0	0.0	5.0	0.0
23e1ab384ad98858820a86d332f5c6cc	0.0	0.0	139.0	0.0	0.0
24055c9a3d2b339846662bc114d7f158	0.0	0.0	0.0	0.0	27.0
245b2aa3f0304ce3a64102493b4261a1	25.0	0.0	0.0	0.0	0.0
2461a8cf82261ae32270bfb8a9e60b2e	0.0	0.0	0.0	0.0	11.0
24826245660ff2f4b7722f2663a6cd3f	0.0	0.0	4.0	0.0	0.0
24917fea2e1aad3923f3029e8c6a4d9b	0.0	0.0	0.0	50.0	0.0
24a62ec3e0d5b3e907880aaea5e48656	0.0	0.0	123.0	0.0	0.0
24b7ee29eb1917ec1437cef0dbb54a14	0.0	38.0	0.0	0.0	0.0
24b8b2c7caa072592b4dd5928d7675bb	0.0	0.0	26.0	0.0	0.0
253b5c7343446ba922c24eb608eb2420	0.0	0.0	0.0	0.0	2.0
2556ed8e45e2af904f6f5f366ff8ae39	0.0	0.0	0.0	0.0	30.0
258c2d80fb5c02b59c7e02e33a84448b	0.0	0.0	0.0	38.0	0.0
25d38ce39cdeff0ff66a5c2b33de4f88	0.0	0.0	0.0	0.0	12.0
25fe23e989514e818f4bc1f680ad6da1	7.0	0.0	0.0	0.0	0.0
2628543712abe07aa64a344c58498f12	0.0	0.0	0.0	2.0	0.0
265a38734d126398aa2f4bd0d05228d9	0.0	0.0	3.0	0.0	0.0
265b710095b6ac9ebbf24684d221c17a	0.0	0.0	0.0	28.0	0.0
268695cfcf6100029072af0ece4a54c9	0.0	15.0	0.0	0.0	0.0
268985e3e9c6d9b77a8371ef4b78cb7e	0.0	0.0	311.0	0.0	0.0
269e3d64b7ba9f6a7a4eafa3b75de05d	0.0	0.0	14.0	0.0	0.0
26ad8c8fd499889f1e6646eb26738e0f	0.0	0.0	0.0	39.0	0.0
26c2cf73c1e32cc4afc5e5c9084ab553	0.0	0.0	0.0	14.0	0.0
277830fefe9d1db73ed923f20cf1967e	0.0	1047.0	0.0	0.0	0.0
27a3c88aab86ae039a89bb92bff17805	0.0	0.0	0.0	0.0	55.0
27a73ba56484a57face61d721c2eadaf	0.0	0.0	3087.0	0.0	0.0
27a80710f97f81877442649e53041f5f	0.0	0.0	0.0	53.0	0.0
27a881dc3ed4433a1171fd8266d3bb35	0.0	34.0	0.0	0.0	0.0
27b9edaee6923fa6a8e2045ae9656c34	3.0	0.0	0.0	0.0	0.0
27c6eea0881354fff65ea0ac3f698f90	0.0	225.0	0.0	0.0	0.0
27e8cdbeb5df1a69dd0503cb6b2f0573	0.0	13.0	0.0	0.0	0.0
2808e4ccf096756adad8c11da496e7bf	45.0	0.0	0.0	0.0	0.0
2845da704dbb4f903cb87adc2765732d	0.0	553.0	0.0	0.0	0.0
286f70ef989e1006bfd189f88ef81a11	0.0	0.0	6.0	0.0	0.0
288e9adbcd74d5a741735200812d364c	0.0	0.0	0.0	31.0	0.0
28a9125f818a337510afcff638ebbd3f	0.0	0.0	0.0	0.0	2.0
28b89ea930711b020cecde78b6b9eda5	0.0	0.0	0.0	31.0	0.0
28d8ce3ef5886a4ef375b056b2920b70	0.0	0.0	0.0	4.0	0.0
2922513ed8da239c18fe9075d408f036	0.0	0.0	0.0	0.0	4.0
295dad769045d5c668861bd4a52794e4	0.0	0.0	21.0	0.0	0.0
29c3396b7be2140fa9f58cb8d22a3fa3	18.0	0.0	0.0	0.0	0.0
29dc0f50ad0aa4933609deb3a7a8e5b6	0.0	0.0	0.0	0.0	2.0
2a375c22478f90caa3e80033d696e01f	0.0	0.0	44.0	0.0	0.0
2a3c93f0f89c79fa2bdd4699699c64a7	0.0	0.0	0.0	2.0	0.0
2a4b32ad8978c3aa4036430d0340914e	0.0	0.0	0.0	0.0	9.0
2a4fb8f08aa78d53511475053278279c	0.0	0.0	5.0	0.0	0.0
2a513c0a2436ddffc80e5fa42bbebd2e	0.0	0.0	0.0	6.0	0.0
2a525a44d1ea667fc2c68133818849ee	0.0	0.0	0.0	47.0	26.0
2a6c71798e9c9cb8ac06e758c5f5cfd8	0.0	0.0	0.0	3.0	0.0
2a8f6b2a5afc57e6c82aa3be8bbe1e34	0.0	0.0	0.0	57.0	0.0
2aabea87cdf65df67e656c8eab9f6798	0.0	0.0	14.0	0.0	0.0
2ac7a9a7e341787c72762fd43c705ce3	0.0	0.0	0.0	4.0	0.0
2b27abe2c4af2bd68bcc9787b06eebe8	0.0	0.0	0.0	8.0	0.0
2b463bc33f484db9bfe86507d48cfd89	0.0	0.0	0.0	30.0	0.0
2b9845025fe0bd6ae930be0bfaccd4e7	0.0	3.0	0.0	0.0	0.0
2b9f03e8921e7c07455368de083f3a01	0.0	0.0	0.0	29.0	0.0
2ba2f3c71be39873f8209bb36fbfc13e	0.0	0.0	0.0	5.0	0.0
2bda731b9aad21db9597366698e6b4bb	0.0	0.0	0.0	0.0	4.0
2c06dc901d497ac1512d3786d51877e2	0.0	0.0	7.0	0.0	0.0
2c0ab3ec9111bdd4ad76a7bdc4a51f86	0.0	0.0	0.0	0.0	11.0
2c15c1b7a24956431c048e1793deaf8f	0.0	0.0	0.0	0.0	16.0
2c23040239bccb144727ace5a81fd525	0.0	270.0	0.0	0.0	0.0
2c6ff6e5f401cc0a087b431cb32f5a4c	0.0	0.0	0.0	6.0	0.0
2c7a8941709e7e81782bdfbe5f7c3a03	0.0	0.0	0.0	145.0	0.0
2cba5a531f94e51e1d43b08f10ba3e30	0.0	0.0	0.0	3.0	0.0
2cbc3a7e117b51888b4489fecf9d3da1	0.0	299.0	0.0	0.0	0.0
2cccf9ee3b84c81a52ca248486e8652b	0.0	0.0	3.0	0.0	0.0
2cd00ea627d63b6c55af5d1d65a6cd44	0.0	0.0	0.0	142.0	0.0
2cd465b2e1912842aaa424ae4ac8b62f	0.0	0.0	181.0	0.0	56.0
2cd9144c8bd70dbd89efe0e37c423004	0.0	0.0	3.0	0.0	0.0
2d25432edf521c6b720cfaa78fcdce46	0.0	0.0	0.0	0.0	152.0
2d75fbaf819c96402b31157188c6506b	0.0	4.0	0.0	0.0	0.0
2d8eb9f7560db19fcf2b8b2959bfb86e	0.0	0.0	11.0	0.0	0.0
2d9a9d6012e671d8135cb2df734d9edd	0.0	0.0	0.0	7.0	0.0
2db0e372966d1777c7cbe57cae6829df	0.0	4.0	0.0	0.0	0.0
2dd2542cede95ace24c8c6c78982aa8e	0.0	0.0	0.0	0.0	4.0
2dd7133e81d2f78aedb0022cf7f705db	0.0	0.0	107.0	0.0	0.0
2dee8eb0d8c7d65290e2320f536df1b3	0.0	0.0	0.0	2.0	0.0
2dff373aa2589e602aee88c73fa7a1fa	0.0	0.0	39.0	0.0	0.0
2e16de5e93da9e434e3ecef821365a83	0.0	0.0	0.0	0.0	7.0
2e6221d7416d56919be80d6d7ebc8623	0.0	63.0	0.0	0.0	0.0
2e627b503419e13c0aaa3e8b65efd450	0.0	4.0	0.0	0.0	0.0
